Auteurs;Titre;Série;Date de publication;Editeur;Pages;ISBN;Chemin de la couverture
Martin/taymans/dreze - Taymans  André - Drèze  Doris - Drèze  Erwin - Schierer  Raphaël - Martin  Jacques;Londres en péril;seul;10/06/2008;CASTERMAN;50;9782203005716;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/2.png
MEZZOMO  Gilles - LAPIERE  Denis;Luka- tome 1 : C'est toujours une histoire de femme;Luka (tome 1);09/10/1996;DUPUIS;48;9782800124001;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/21.png
MOENARD+STALNER;Bleu Blanc Sang T01: Provence- août 1944;Bleu Blanc Sang (tome 1);13/03/2013;Soleil;56;9782302027084;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/60.png
Olivier  Berlion - Olivier  Berlion;Le Juge- la République assassinée - Tome 1 - Le Juge- la République assassinée - tome 1;Le Juge (tome 1);22/05/2015;DARGAUD;64;9782205073652;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/53.png
PECAU-J.P+PILIPOVIC-L;L'Histoire secrète T04: Les Clés de saint Pierre;L'histoire secrète (tome 4);08/03/2006;Delcourt;48;9782847896411;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/38.png
PECAU-J.P+SUDZUKA-G+GETO;L'Histoire secrète T03: Le Graal de Montségur;L'histoire secrète (tome 3);08/03/2006;Delcourt;48;9782847896336;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/39.png
PECAU-J.P.;L'Histoire secrète T02: Le Château des Djinns;L'histoire secrète (tome 2);16/11/2005;Delcourt;48;9782847896329;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/36.png
PECAU-J.P;L'Histoire secrète T05: 1666.0;L'histoire secrète (tome 5);17/05/2006;Delcourt;48;9782847898606;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/40.png
PECAU-J.P;L'Histoire secrète T06: L'Aigle et le Sphinx;L'histoire secrète (tome 6);23/08/2006;Delcourt;48;9782847898613;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/37.png
PEYNET+GAUDIN+RIEU;Phoenix T01: Absences;Phoenix (tome 1);25/08/2010;Soleil;48;9782302012585;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/59.png
Philippe  Sabbah - Tristan  Roulot - Patrick  Hénaff;Hedge Fund - Tome 1 - Des Hommes d'argent;Hedge Fund (tome 1);16/01/2014;LOMBARD;56;9782803634453;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/47.png
Pécau  Jean-Pierre - Kordey  Igor;L'Histoire secrète T01: Genèse;L'histoire secrète (tome 1);16/11/2005;Delcourt;48;9782847896312;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/35.png
Reculé  Henri - Desberg  Stephen - Angles  Renaud;Le premier assassin;Cassio (tome 1);22/03/2012;Les Editions du Lombard;48;9782803626892;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/26.png
RODIER+ISTIN;L'Ordre des dragons T01: La Lance;L'Ordre des dragons (tome 1);23/04/2008;Soleil;48;9782302001060;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/41.png
RODIER+ISTIN;L'Ordre des dragons T02: Le Mont Moïse;L'Ordre des dragons (tome 2);21/01/2009;Soleil;48;9782302004863;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/42.png
RODIER+ISTIN;L'Ordre des dragons T03: Le Premier;L'Ordre des dragons (tome 3);28/10/2009;Soleil;48;9782302008458;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/43.png
Rosinski  Grzegorz - Hamme  Jean Van;Thorgal- tome 27 : Le Barbare;Thorgal (tome 27);02/11/2002;LOMBARD;48;9782803617753;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/45.png
Roussel  Johannes - Seiter  Roger;Le mystère de la Perle;HMS (tome 4);17/09/2008;CASTERMAN;48;9782203013902;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/28.png
Roussel/seiter - Roussel  Johannes - Seiter  Roger;Capturez la Danaë;HMS (tome 2);07/08/2006;CASTERMAN;58;9782203393059;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/29.png
Roussel/seiter - Roussel  Johannes - Seiter  Roger;Le Sang de Caroline;HMD (tome 6);15/05/2011;CASTERMAN;48;9782203030312;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/27.png
Spiegelman  Art;In the Shadow of No Towers;seul;07/09/2004;Pantheon;42;9780375423079;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/1.png
Stephen  Desberg - Griffo;Empire USA - Saison 1 - tome 1 - Sans titre;Empire USA Saison 1 (tome 1);19/09/2008;DARGAUD;48;9782505003960;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/46.png
Sulitzer - Annestay  Marvano;Rourke n⁰1 : La mort est toujours bonne;Rourke (tome 1);01/01/1991;Editions Dupuis;48;9782800118437;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/56.png
Marvano - Rouffa - Sulitzer  Paul-Loup;Rourke n⁰2 : Le Bon Dieu ne dort jamais;Rourke (tome 2);01/02/1994;Editions Dupuis;48;9782800119625;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/57.png
Sulitzer - Marvano - Rouffa;Rourke n⁰3 : Les trois concubines;Rourke (tome 3);1994;Editions Dupuis;48;9782800121048;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/58.png
Yslaire;Sambre: Plus ne m'est rien.../2eme Edition;Sambre (tome 1);2003;GLENAT;49;9782723441384;https://raw.githubusercontent.com/Elatelunar/Albums/main/images/19.png
